method,repeat,k_text,k_audio,k_vision,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta
random,30,9,10,8,2,02,missing,0.27449193596839905,-0.2848214449942112,0.11990106105804443,0.10363918872177602
random,31,9,10,8,2,02,missing,0.1808275431394577,-0.3667495494842529,0.21356545388698578,0.18556729321181775
random,32,9,10,8,2,02,missing,0.22413580119609833,-0.2817528644263744,0.17025719583034515,0.10057060815393926
random,33,9,10,8,2,02,missing,0.2685990035533905,-0.2665309025108814,0.12579399347305298,0.08534864623844624
random,34,9,10,8,2,02,missing,0.48629888892173767,0.05700750959813597,-0.09190589189529419,0.23818976587057114
random,35,9,10,8,2,02,missing,0.4663749635219574,0.008835303451493404,-0.07198196649551392,0.1900175597239286
random,36,9,10,8,2,02,missing,0.2217794805765152,-0.26362727311849593,0.17261351644992828,0.08244501684606076
random,37,9,10,8,2,02,missing,0.5087807774543762,0.07536956538408997,-0.11438778042793274,0.2565518216565251
random,38,9,10,8,2,02,missing,0.4844743311405182,0.0617478822782636,-0.09008133411407471,0.24293013855069878
random,39,9,10,8,2,02,missing,0.31757864356040955,-0.15298200944662094,0.07681435346603394,0.028200246825814235
random,40,9,10,8,2,02,missing,0.2764540910720825,-0.24957113981842993,0.11793890595436096,0.06838888354599476
random,41,9,10,8,2,02,missing,0.43055105209350586,-0.07660819206237791,-0.03615805506706238,0.10457406421005726
random,42,9,10,8,2,02,missing,0.2245352417230606,-0.2835566403031349,0.16985775530338287,0.1023743840306997
random,43,9,10,8,2,02,missing,0.35674312710762024,-0.10304867326319216,0.03764986991882324,0.07813358300924302
random,44,9,10,8,2,02,missing,0.5129452347755432,0.02031880560293796,-0.11855223774909973,0.20150106187537314
random,45,9,10,8,2,02,missing,0.2624015808105469,-0.23573499064743517,0.1319914162158966,0.054552734374999995
random,46,9,10,8,2,02,missing,0.2288055568933487,-0.22053500700592993,0.1655874401330948,0.03935275073349476
random,47,9,10,8,2,02,missing,0.2533412277698517,-0.28360062370300293,0.1410517692565918,0.10241836743056776
random,48,9,10,8,2,02,missing,0.1701543778181076,-0.3509776608109474,0.22423861920833588,0.16979540453851222
random,49,9,10,8,2,02,missing,0.2240518033504486,-0.32064366862773896,0.17034119367599487,0.1394614123553038
random,50,9,10,8,2,02,missing,0.21496322751045227,-0.27418586686849594,0.1794297695159912,0.09300361059606077
top,0,11,11,10,3,03,missing,0.3838973343372345,-0.11388772831708191,0.15400144457817078,0.07508012676984072
random,1,11,11,10,3,03,missing,0.534597635269165,0.023877171402424596,0.0033011436462402344,0.06268477294966579
random,2,11,11,10,3,03,missing,0.48218172788619995,-0.07223627433776854,0.05571705102920532,0.033428672790527345
random,3,11,11,10,3,03,missing,0.45425188541412354,-0.04834195671081541,0.08364689350128174,0.009534355163574218
random,4,11,11,10,3,03,missing,0.4382605254650116,-0.0824181696012616,0.09963825345039368,0.0436105680540204
random,5,11,11,10,3,03,missing,0.4561305642127991,-0.07261572514325379,0.0817682147026062,0.033808123596012596
random,6,11,11,10,3,03,missing,0.5315900444984436,0.009739931961148997,0.00630873441696167,0.048547533508390195
random,7,11,11,10,3,03,missing,0.47977736592292786,-0.06681949577331542,0.05812141299247742,0.028011894226074224
random,8,11,11,10,3,03,missing,0.5106409192085266,-0.032146613693237285,0.027257859706878662,0.006660987854003909
random,9,11,11,10,3,03,missing,0.4422434866428375,-0.09427734147608278,0.09565529227256775,0.05546973992884159
random,10,11,11,10,3,03,missing,0.5559536814689636,0.03142629231289031,-0.01805490255355835,0.07023389386013151
random,11,11,11,10,3,03,missing,0.5124143958091736,0.004013819595426342,0.02548438310623169,0.042821421142667536
random,12,11,11,10,3,03,missing,0.5000931024551392,-0.06698997172564267,0.03780567646026611,0.028182370178401472
random,13,11,11,10,3,03,missing,0.4835270345211029,0.013252589126676342,0.05437174439430237,0.05206019067391754
random,14,11,11,10,3,03,missing,0.48291876912117004,-0.040084805099666096,0.05498000979423523,0.001277203552424902
random,15,11,11,10,3,03,missing,0.5041770339012146,-0.0446464482270181,0.033721745014190674,0.005838846679776903
random,16,11,11,10,3,03,missing,0.5245730876922607,-0.03551078996285794,0.013325691223144531,0.0032968115843832538
random,17,11,11,10,3,03,missing,0.4368612468242645,-0.08051816996783016,0.10103753209114075,0.04171056842058897
random,18,11,11,10,3,03,missing,0.47510403394699097,-0.011788325286842863,0.0627947449684143,0.02701927626039833
random,19,11,11,10,3,03,missing,0.5504370927810669,0.006844567916914842,-0.012538313865661621,0.04565216946415604
random,20,11,11,10,3,03,missing,0.4338754415512085,-0.07395204313695429,0.10402333736419678,0.035144441589713096
random,21,11,11,10,3,03,missing,0.4894818067550659,-0.08198647843897341,0.048416972160339355,0.04317887689173222
random,22,11,11,10,3,03,missing,0.5197936296463013,-0.003173723800480345,0.018105149269104004,0.03563387774676085
random,23,11,11,10,3,03,missing,0.4681169092655182,-0.028058595992997266,0.06978186964988708,0.010749005554243928
random,24,11,11,10,3,03,missing,0.5080977082252502,-0.051534280868619664,0.02980107069015503,0.01272667932137847
random,25,11,11,10,3,03,missing,0.5171656012535095,-0.08219544657915828,0.020733177661895752,0.04338784503191709
random,26,11,11,10,3,03,missing,0.46006953716278076,-0.05913702165186403,0.07782924175262451,0.02032942010462284
random,27,11,11,10,3,03,missing,0.5269528031349182,-0.03823980149850247,0.01094597578048706,0.0005678000487387216
random,28,11,11,10,3,03,missing,0.5077546834945679,0.008737691787630342,0.030144095420837402,0.047545293334871536
random,29,11,11,10,3,03,missing,0.48895055055618286,-0.05081662712097166,0.04894822835922241,0.012009025573730465
random,30,11,11,10,3,03,missing,0.5625773072242737,0.021926307571679376,-0.024678528308868408,0.06073390911892057
random,31,11,11,10,3,03,missing,0.5167322754859924,-0.02416288063805548,0.021166503429412842,0.014644720909185713
