scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive
63,T+V_10_Tail,T+V,10,0.1,Tail,0.5837912087912088,0.5661665699230651,0.5856550292484216,0.6562962420796464,0.5508472384753831,0.5776699029126213,0.46195652173913043,0.6538461538461539,0.6040609137055838,0.44155844155844154,0.6528803545051699,0.88064938573872,0.3525072038983521,0.6849365835932232
64,T+V_20_Head,T+V,20,0.2,Head,0.48626373626373626,0.4735549467311874,0.49068418880956416,0.7018997371810806,0.4361169492354873,0.3155339805825243,0.625,0.514792899408284,0.4262295081967213,0.4331450094161959,0.5612903225806452,1.0319042606550513,0.21068641118219364,0.7681787908738534
65,T+V_20_Middle,T+V,20,0.2,Middle,0.5645604395604396,0.5505392658354817,0.5691351121202627,0.6570579798503237,0.5437053306950965,0.5145631067961165,0.5054347826086957,0.6272189349112426,0.5698924731182796,0.4460431654676259,0.6356821589205397,0.89926145095559,0.3198257847486631,0.6930248699421008
66,T+V_20_Tail,T+V,20,0.2,Tail,0.5673076923076923,0.5497318117739377,0.571212344353804,0.6580695530583898,0.5489473083016302,0.5339805825242718,0.46195652173913043,0.6449704142011834,0.5804749340369393,0.4218362282878412,0.6468842729970327,0.885967056149418,0.3380261815517493,0.6933982356633308
67,T+V_30_Head,T+V,30,0.3,Head,0.44642857142857145,0.4276720877212464,0.44423233658303746,0.7120079695769064,0.4069154094120015,0.23786407766990292,0.6521739130434783,0.46153846153846156,0.34146341463414637,0.42328042328042326,0.5182724252491694,1.051194229606286,0.1973211724392098,0.785469511314433
68,T+V_30_Middle,T+V,30,0.3,Middle,0.554945054945055,0.5431436828522934,0.561129533128749,0.6596743410739762,0.5398176293972761,0.49029126213592233,0.5217391304347826,0.6124260355029586,0.5626740947075209,0.4413793103448276,0.6253776435045317,0.9111151892004661,0.30096284773848625,0.7017042229073287
69,T+V_30_Tail,T+V,30,0.3,Tail,0.5618131868131868,0.5484074203324105,0.5673719882282237,0.6615582702087832,0.5459112666540078,0.5194174757281553,0.5,0.621301775147929,0.5737265415549598,0.43705463182897863,0.6344410876132931,0.8955165585050884,0.32319021909295215,0.7031686667066354
70,T+V_40_Head,T+V,40,0.4,Head,0.4230769230769231,0.39447887818962557,0.4096060713218635,0.7208040091772001,0.3751263383277167,0.16990291262135923,0.7282608695652174,0.41124260355029585,0.2661596958174905,0.43295638126009695,0.4843205574912892,1.0667803964568574,0.17974759528980308,0.8044822469750452
71,T+V_40_Middle,T+V,40,0.4,Middle,0.5412087912087912,0.5300933383490853,0.548648213326133,0.6635542950173329,0.5343078834802109,0.441747572815534,0.5543478260869565,0.5946745562130178,0.5321637426900585,0.4406047516198704,0.6175115207373272,0.9237860137759482,0.2854507248443754,0.7107830608384849
72,T+V_40_Tail,T+V,40,0.4,Tail,0.5357142857142857,0.5210910408030079,0.5417881099956806,0.6644132175370232,0.5428077615794846,0.44660194174757284,0.5108695652173914,0.6035502958579881,0.519774011299435,0.42437923250564336,0.6191198786039454,0.9073567259514216,0.30700128298738727,0.7109144992641443
73,T+V_50_Head,T+V,50,0.5,Head,0.3956043956043956,0.35625280617872995,0.3700934936690843,0.7318556345896897,0.3290615962495332,0.11650485436893204,0.7717391304347826,0.3609467455621302,0.19123505976095617,0.4322678843226788,0.44525547445255476,1.080469465479978,0.1610387958910154,0.8301273776582007
74,T+V_50_Middle,T+V,50,0.5,Middle,0.5137362637362637,0.4996429000105871,0.5194553262960485,0.6713993032718752,0.525328116651333,0.3640776699029126,0.5815217391304348,0.5680473372781065,0.4658385093167702,0.4349593495934959,0.5981308411214953,0.9390335873999063,0.26431049394380784,0.729895393171254
75,T+V_50_Tail,T+V,50,0.5,Tail,0.5178571428571429,0.5071262753653013,0.5262471972579883,0.6688326859519214,0.5356596692933872,0.4077669902912621,0.5543478260869565,0.5650887573964497,0.49851632047477745,0.42411642411642414,0.5987460815047022,0.9193001010825912,0.28397259363175736,0.7256905837921348
76,A+V_10_Head,A+V,10,0.1,Head,0.5810439560439561,0.5627745613081454,0.5824327627062812,0.6539752481116371,0.5546895190799755,0.5776699029126213,0.45652173913043476,0.650887573964497,0.5964912280701754,0.4409448818897638,0.650887573964497,0.8776561496327224,0.35369172210440686,0.6811169731766867
77,A+V_10_Middle,A+V,10,0.1,Middle,0.5892857142857143,0.5717676867035032,0.5910631365286206,0.6518551374652556,0.5590847262461938,0.5922330097087378,0.4673913043478261,0.6538461538461539,0.6084788029925187,0.4490861618798956,0.6577380952380952,0.874312617825073,0.3533857393118998,0.6787549253531109
78,A+V_10_Tail,A+V,10,0.1,Tail,0.592032967032967,0.5767550922808148,0.5952907697520177,0.6503095507601296,0.5619692802505956,0.6116504854368932,0.483695652173913,0.6390532544378699,0.6176470588235294,0.45408163265306123,0.6585365853658537,0.8703014303758306,0.35593297899417253,0.6764839945592471
79,A+V_20_Head,A+V,20,0.2,Head,0.5851648351648352,0.5673860374110262,0.5870161833825932,0.6534237744655091,0.5572918837646388,0.5825242718446602,0.4673913043478261,0.650887573964497,0.5985037406483791,0.4479166666666667,0.6557377049180327,0.8749105980963383,0.3494221366456021,0.6839267794682077
80,A+V_20_Middle,A+V,20,0.2,Middle,0.5961538461538461,0.5808440918239929,0.598855906397777,0.6485312067197411,0.5657994514532211,0.6116504854368932,0.483695652173913,0.6479289940828402,0.6253101736972705,0.45758354755784064,0.6596385542168675,0.8701429144994727,0.3476142721736561,0.6772788521453473
