scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
34,A+V_20_MG1,A+V,20,1,0.20141871735878028,3.868131868131868,3.868131868131868,0.6016483516483516,0.5952914607335519,0.61040808799254,0.5836056556225151,0.6526638003748432,0.6208791208791209,0.6103119611530866,0.6273897996744224,0.5883875409202589,0.6622319736822928,0.6016483516483516,0.5952914607335519,0.61040808799254,0.5832662132948965,0.651593593758333,0.6208791208791209,0.6103119611530866,0.6273897996744224,0.574262424771766,0.6606004286406354
35,A+V_20_MG2,A+V,20,2,0.20141871735878028,3.868131868131868,3.868131868131868,0.6112637362637363,0.6045773905892632,0.6195405812289629,0.5823617443483282,0.6537511171191511,0.6195054945054945,0.6090260822633816,0.625570188171895,0.5862040762267597,0.6642820296921931,0.6112637362637363,0.6045773905892632,0.6195405812289629,0.5819032026293512,0.6525899044201197,0.6195054945054945,0.6090260822633816,0.625570188171895,0.5722711203063909,0.6624725583232682
36,A+V_20_MG3,A+V,20,3,0.20141871735878028,3.9258241758241756,3.9258241758241756,0.6085164835164835,0.6024775861402002,0.6170431907921053,0.5845013681881048,0.6511253518138496,0.625,0.6130734986451394,0.6315224855908069,0.5895976740457527,0.6616663721533425,0.6085164835164835,0.6024775861402002,0.6170431907921053,0.5834908671799106,0.650098585009849,0.625,0.6130734986451394,0.6315224855908069,0.5742031424726759,0.6600028110279921
37,A+V_30_MG1,A+V,30,1,0.30199961759170707,5.5673076923076925,5.5673076923076925,0.6043956043956044,0.599946621807418,0.6130017936708003,0.5805269485687489,0.6585259939531549,0.6263736263736264,0.6164103323525858,0.6322793532672341,0.5875513737222978,0.6634818409882368,0.6043956043956044,0.599946621807418,0.6130017936708003,0.5805285358828502,0.6573860951060768,0.6263736263736264,0.6164103323525858,0.6322793532672341,0.573142294549025,0.6618098772466143
38,A+V_30_MG2,A+V,30,2,0.30199961759170707,5.583791208791209,5.583791208791209,0.6057692307692307,0.6016731293690913,0.6147376877543148,0.5808359585333984,0.6554637336747694,0.6236263736263736,0.613394757283741,0.6302405087100165,0.5889150300728423,0.6606623181232157,0.6057692307692307,0.6016731293690913,0.6147376877543148,0.5805275231013586,0.6543525076956282,0.6236263736263736,0.613394757283741,0.6302405087100165,0.5747633085696252,0.6590275036605261
39,A+V_30_MG3,A+V,30,3,0.30199961759170707,5.681318681318682,5.681318681318682,0.6043956043956044,0.5998724489795918,0.6132863310159229,0.5800158449622629,0.6563710832633031,0.6195054945054945,0.6093573006925609,0.6264312898896811,0.5891751585794347,0.6610541838301838,0.6043956043956044,0.5998724489795918,0.6132863310159229,0.5802911094528633,0.6552699983656837,0.6195054945054945,0.6093573006925609,0.6264312898896811,0.5746762570360532,0.6594281787492373
40,A+V_40_MG1,A+V,40,1,0.4002302951742184,7.361263736263736,7.3695054945054945,0.5961538461538461,0.5931704989047835,0.6060198315616273,0.579502147898733,0.6591311906466358,0.6071428571428571,0.5989406824390257,0.6146128908745637,0.5887542012669555,0.6603347083650798,0.5961538461538461,0.5931704989047835,0.6060198315616273,0.5801710053479279,0.6579674451366264,0.6071428571428571,0.5989406824390257,0.6146128908745637,0.5736912690500964,0.6586636204863244
41,A+V_40_MG2,A+V,40,2,0.4002302951742184,7.407967032967033,7.417582417582418,0.6002747252747253,0.5964256413142776,0.6099195667817203,0.5800990155478428,0.6592217845959272,0.6153846153846154,0.607177674029177,0.62198687346181,0.5891178434735144,0.6619929293335393,0.6002747252747253,0.5964256413142776,0.6099195667817203,0.5804863171017431,0.6580643587484563,0.6153846153846154,0.607177674029177,0.62198687346181,0.5739886804591495,0.660333345790829
42,A+V_40_MG3,A+V,40,3,0.4002302951742184,7.373626373626373,7.383241758241758,0.6016483516483516,0.5983255154927235,0.6115977753225209,0.5815916840232663,0.656324802562218,0.6263736263736264,0.6180347828909194,0.6329842235847251,0.588274657828631,0.6593881526720834,0.6016483516483516,0.5983255154927235,0.6115977753225209,0.5817458690932164,0.6551930064721488,0.6263736263736264,0.6180347828909194,0.6329842235847251,0.5737075613823893,0.6577067724636253
43,A+V_50_MG1,A+V,50,1,0.512593395480767,8.802197802197803,9.281593406593407,0.5961538461538461,0.5941121760296518,0.6064633817037663,0.5837896005506371,0.6589837716760806,0.6071428571428571,0.6002309275726807,0.6147345782110789,0.5904210895340849,0.658418573921196,0.5961538461538461,0.5941121760296518,0.6064633817037663,0.5840982990615315,0.6578025462247378,0.6071428571428571,0.6002309275726807,0.6147345782110789,0.5759333964409409,0.6567342635004202
44,A+V_50_MG2,A+V,50,2,0.512593395480767,8.79945054945055,9.346153846153847,0.5975274725274725,0.5952581514713454,0.607575561510008,0.581843470581449,0.6584224546262946,0.6071428571428571,0.6014885790349506,0.6152433427235586,0.5887704325614722,0.6570766233755142,0.5975274725274725,0.5952581514713454,0.607575561510008,0.5825877149219696,0.6572204361816142,0.6071428571428571,0.6014885790349506,0.6152433427235586,0.5751726436939213,0.6554371920290848
45,A+V_50_MG3,A+V,50,3,0.512593395480767,8.872252747252746,9.43543956043956,0.5947802197802198,0.5931384812610371,0.6050161007117874,0.580976619518229,0.6612524013176129,0.6181318681318682,0.6110749158810505,0.62508344498028,0.5866847001630199,0.6602293115741342,0.5947802197802198,0.5931384812610371,0.6050161007117874,0.582195416421517,0.6600637660234936,0.6181318681318682,0.6110749158810505,0.62508344498028,0.5739513207583964,0.6585553346326574
