sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,phi_A_cls,phi_A_reg,phi_V_cls,phi_V_reg,cls_efficiency_residual,reg_efficiency_residual
122,266791$_$5,zero,4.3946177164713545,-1.4644205729166666,-0.12033589680989583,0.07830403645833336,0.8829447428385417,-0.45450846354166674,8.881784197001252e-16,2.220446049250313e-16
123,266791$_$4,zero,5.045796712239584,-1.6308349609375001,0.016499837239583332,-0.041870117187500014,0.6222737630208334,-0.41206054687499993,0.0,0.0
124,266791$_$6,zero,1.8792012532552083,-0.09711914062499996,-0.24878946940104166,0.05581054687499997,0.3051656087239583,-0.39697265625,2.220446049250313e-16,0.0
125,266791$_$8,zero,1.50115966796875,-0.39599609375,0.36260986328125,-0.12619628906249997,0.84228515625,-0.41472167968749996,0.0,1.1102230246251565e-16
126,266791$_$11,zero,1.02215576171875,0.32708333333333334,0.14044189453125,0.11497395833333335,-1.1307373046875,-0.5576822916666666,0.0,5.551115123125783e-17
127,266791$_$14,zero,0.39703369140625,-0.20979817708333334,0.12103271484375,0.01212565104166665,0.11743164062499996,-0.5363118489583333,0.0,1.1102230246251565e-16
128,270254$_$23,zero,3.5708058675130214,-0.7003092447916667,-0.08330790201822917,-0.05089518229166663,1.0725606282552085,-0.5218424479166668,8.881784197001252e-16,2.220446049250313e-16
129,270254$_$0,zero,-0.3591054280598958,-0.07825520833333328,1.0874125162760417,0.34781901041666663,-0.3669789632161458,-0.31292317708333334,1.6653345369377348e-16,0.0
130,270254$_$6,zero,1.1283365885416667,-0.2660481770833334,-0.28511555989583337,0.00016276041666666175,-0.11690266927083336,-0.3252278645833333,0.0,1.1102230246251565e-16
131,270254$_$8,zero,5.442759195963542,-1.8508789062500002,0.09907023111979166,-0.007910156250000036,0.8404947916666667,-0.41699218750000006,8.881784197001252e-16,4.440892098500626e-16
132,270254$_$11,zero,-0.5432942708333334,-0.17006022135416665,0.9422403971354167,0.31499837239583334,-0.38332112630208337,-0.28712565104166665,0.0,5.551115123125783e-17
133,270254$_$14,zero,0.7568105061848959,-0.31524454752604164,-0.009607950846354166,0.05808614095052083,1.2278951009114583,-0.46002909342447923,0.0,1.1102230246251565e-16
134,270254$_$16,zero,0.6177978515625,-0.426025390625,-0.1131591796875,-0.01645507812499999,-0.114990234375,-0.07729492187500002,0.0,0.0
135,272624$_$10,zero,5.178873697916667,-1.6207682291666665,-0.6148274739583333,0.2895833333333333,0.3431803385416667,-0.20397135416666667,8.881784197001252e-16,0.0
136,272624$_$13,zero,0.7208455403645833,0.12532552083333331,0.6309102376302084,0.2755208333333333,-0.6863505045572917,-0.1613932291666667,2.220446049250313e-16,0.0
137,272624$_$12,zero,3.835810343424479,-0.9818033854166668,-0.6398976643880208,0.24514973958333336,0.38746134440104163,-0.18873697916666665,4.440892098500626e-16,1.1102230246251565e-16
138,272624$_$16,zero,4.305257161458334,-1.3263020833333332,-0.5824381510416667,0.34127604166666664,0.3811848958333333,-0.2126302083333333,0.0,2.220446049250313e-16
139,272624$_$18,zero,1.3490804036458335,-0.3848551432291667,-0.33048502604166663,0.14168294270833334,0.5536702473958333,-0.11483561197916667,2.220446049250313e-16,0.0
140,272624$_$2,zero,1.65277099609375,-0.4139933268229167,-0.595458984375,0.26402180989583335,0.60748291015625,-0.1387003580729167,0.0,0.0
141,272624$_$6,zero,0.7162679036458334,-0.6823404947916667,0.19160970052083337,0.27888997395833337,0.23872884114583331,-0.18722330729166664,0.0,1.1102230246251565e-16
142,272624$_$9,zero,2.748269399007161,-0.49871826171875,-0.9010512034098308,0.466546630859375,0.5392564137776693,-0.278375244140625,4.440892098500626e-16,0.0
143,272624$_$8,zero,5.890055338541667,-2.052604166666667,-0.5462239583333333,0.27513020833333335,0.3016764322916667,-0.18697916666666675,8.881784197001252e-16,0.0
144,273539$_$3,zero,5.573649088541667,-1.8920572916666667,-0.07649739583333333,-0.005338541666666696,0.3939615885416667,-0.16901041666666666,8.881784197001252e-16,0.0
145,273539$_$2,zero,2.5778401692708335,-0.3061197916666667,-0.19132486979166666,0.006819661458333333,0.2818196614583333,-0.2650065104166667,4.440892098500626e-16,0.0
146,273539$_$9,zero,4.832926432291666,-1.3750976562500001,0.11783854166666666,-0.11684570312500007,0.4374186197916667,-0.30805664062500004,0.0,0.0
