scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score
48,T+A_10_Tail,T+A,10,0.1,Tail,0.6112637362637363,0.5886659844680834,0.6097951155243938,0.8670980316371872,0.4191238673412629,0.6310679611650486,0.43478260869565216,0.6952662721893491,0.6403940886699507,0.4444444444444444,0.6811594202898551,1.0177166474603334,0.8012516534603809,0.8111462527169631,0.5825052277151717
49,T+A_20_Head,T+A,20,0.2,Head,0.603021978021978,0.5879268292682928,0.607208523184133,0.8821289720893889,0.4019642526016066,0.6067961165048543,0.5054347826086957,0.6538461538461539,0.625,0.465,0.6737804878048781,1.066882327524493,0.8108311047291626,0.808340854854626,0.5747175172988537
50,T+A_20_Middle,T+A,20,0.2,Middle,0.5906593406593407,0.5791549008267274,0.5975436639931587,0.8708907674261175,0.40023650700889524,0.5922330097087378,0.5163043478260869,0.6301775147928994,0.6256410256410256,0.4523809523809524,0.6594427244582043,0.9448458694861931,0.7657747276775215,0.8830404724242419,0.5699384565048977
51,T+A_20_Tail,T+A,20,0.2,Tail,0.592032967032967,0.5722578613664308,0.5933263589751364,0.8557274243129152,0.4133792328019624,0.5825242718446602,0.45108695652173914,0.6745562130177515,0.6153846153846154,0.4356955380577428,0.6656934306569343,1.000434410875862,0.7484492476543655,0.825933179559087,0.5731068966075972
52,T+A_30_Head,T+A,30,0.3,Head,0.6112637362637363,0.5996579404413945,0.6178783608372819,0.881034062243998,0.3798758140841074,0.5825242718446602,0.5706521739130435,0.650887573964497,0.625,0.4918032786885246,0.6821705426356589,1.0685561542010422,0.7453779321892754,0.8405937574715656,0.5742798675103098
53,T+A_30_Middle,T+A,30,0.3,Middle,0.5782967032967034,0.5731888452675671,0.5890930057789954,0.8766603896926556,0.3880097678374283,0.5388349514563107,0.5815217391304348,0.6005917159763313,0.6149584487534626,0.46220302375809935,0.6424050632911392,0.9222874817917648,0.7301153477848225,0.9286281611087054,0.5618187966260367
54,T+A_30_Tail,T+A,30,0.3,Tail,0.5782967032967034,0.5620737040267673,0.5815262184252252,0.8739194427361037,0.36623473588160027,0.5194174757281553,0.5,0.6568047337278107,0.5831062670299727,0.4520884520884521,0.6510263929618768,1.0340018516894682,0.7194593783629977,0.860439193032726,0.553824665573259
55,T+A_40_Head,T+A,40,0.4,Head,0.5961538461538461,0.5875229781685644,0.6054362965278137,0.8904544870768275,0.3543004417991402,0.49514563106796117,0.6684782608695652,0.6183431952662722,0.5811965811965812,0.5082644628099173,0.6731078904991948,1.0545303077952375,0.7435329502610408,0.8704365690475737,0.560289775940652
56,T+A_40_Middle,T+A,40,0.4,Middle,0.5604395604395604,0.551111999209139,0.5693374940088378,0.8840170549024101,0.37514825364614446,0.42718446601941745,0.6467391304347826,0.5946745562130178,0.5382262996941896,0.476,0.6391096979332274,0.9065678482061451,0.6849972992406591,0.978615195793513,0.5480068654151767
57,T+A_40_Tail,T+A,40,0.4,Tail,0.5782967032967034,0.5622571890692565,0.5826631857967475,0.8775424296855108,0.33787325973457855,0.46601941747572817,0.5434782608695652,0.665680473372781,0.5680473372781065,0.4608294930875576,0.6578947368421053,1.0804402958420873,0.6848519772858076,0.8587793610857789,0.5464782522180087
58,T+A_50_Head,T+A,50,0.5,Head,0.5453296703296703,0.5334912300201832,0.5515244556389729,0.9248387018975975,0.28785937413396856,0.3640776699029126,0.7228260869565217,0.5591715976331361,0.4838709677419355,0.4907749077490775,0.6258278145695364,1.0579513974704788,0.7133992757324291,0.9588139655851048,0.5146001767961557
