sample_index,sample_id,baseline,main_modality,TEXT_MISSING_OOD_CAUTION,ratio,n_candidates,k,M_full,y_attr_full,CompTopK_cls,CompTopK_reg,RandomComp_cls_mean,RandomComp_reg_mean,GainComp_cls,GainComp_reg,SuffTopK_cls,SuffTopK_reg,RandomSuff_cls_mean,RandomSuff_reg_mean,GainSuff_cls,GainSuff_reg,F_comp_cls,F_comp_reg,F_suff_cls,F_suff_reg,FaithfulnessScore_ratio
353,KDjl2exStlI$_$13,missing,A,False,0.1,14,2,1.7121582299999998,-0.09065754711627967,-0.03027341062500022,0.016064453125000003,-0.047320529765625216,0.0112158203125,0.017047119140624997,0.004848632812500003,0.2618407934375002,0.03081054687500001,0.24322507078125016,0.035129394531250004,-0.018615722656250056,0.0043188476562499925,0.009956503368337418,0.0008081054687500006,-0.010872658529691808,0.0007198079427083321,0.00015293956252598567
353,KDjl2exStlI$_$13,missing,A,False,0.2,14,3,1.7121582299999998,-0.09065754711627967,-0.07641598875000022,0.022753906249999997,-0.06081540281250022,0.013874511718750001,-0.015600585937500001,0.008879394531249996,0.20434567625000022,0.02666015625000001,0.23161618406250017,0.03400390625000001,0.027270507812499956,0.007343749999999996,-0.00911164432848924,0.001479899088541666,0.015927553544479597,0.0012239583333333328,0.0023799416594663387
353,KDjl2exStlI$_$13,missing,A,False,0.3,14,5,1.7121582299999998,-0.09065754711627967,-0.18664548093750022,0.0333984375,-0.09118039304687522,0.019494628906250006,-0.095465087890625,0.013903808593749997,0.10595700437500022,0.01962890625000001,0.19479367429687516,0.028979492187500004,0.08883666992187494,0.009350585937499996,-0.055757131823904606,0.0023173014322916663,0.051885752426119244,0.0015584309895833326,1.0882560224099243e-06
354,KDjl2exStlI$_$5,missing,A,False,0.1,16,2,2.054443359,0.07408854663372035,0.02172851524999997,0.01611328125,-0.026352715867248567,0.006535644531250004,0.04808123111724853,0.009577636718749996,0.27087402381250003,0.071942138671875,0.2054313663417969,0.05257881164550782,-0.06544265747070313,-0.019363327026367186,0.023403520716741167,0.0015962727864583326,-0.031854188303526175,-0.0032272211710611975,-0.0025204039928469683
354,KDjl2exStlI$_$5,missing,A,False,0.2,16,4,2.054443359,0.07408854663372035,0.012939452749999969,0.022265624999999997,-0.06750392951318362,0.014100341796875008,0.0804433822631836,0.00816528320312499,0.24011230506250003,0.06656951904296876,0.17104418315240483,0.0417901611328125,-0.0690681219100952,-0.024779357910156258,0.03915578531527589,0.001360880533854165,-0.033618881722216165,-0.004129892985026043,0.0006919727854719608
354,KDjl2exStlI$_$5,missing,A,False,0.3,16,5,2.054443359,0.07408854663372035,-0.03747558631250003,0.008544921875,-0.07231960334130863,0.015522460937500007,0.0348440170288086,-0.0069775390625000065,0.20031738318750003,0.05634155273437501,0.1694818500454102,0.0397235107421875,-0.030835533142089838,-0.016618041992187506,0.01696031186056015,-0.0011629231770833345,-0.015009183873492208,-0.0027696736653645844,-0.0004953672138449942
355,KDjl2exStlI$_$4,missing,A,False,0.1,23,3,1.7028809000000003,0.023966476321220335,0.030273478125000253,0.018139648437500003,-0.019030721093749748,0.007639160156250002,0.04930419921875,0.010500488281250001,0.08178706874999975,0.0243896484375,0.013720699062499975,0.036141357421875006,-0.06806636968749977,0.011751708984375005,0.028953387324599546,0.0017500813802083335,-0.039971280267586236,0.0019586181640625006,-0.001827298349678964
355,KDjl2exStlI$_$4,missing,A,False,0.2,23,5,1.7028809000000003,0.023966476321220335,0.03515629062500025,0.027709960937500007,-0.02402339687499975,0.014705810546875003,0.0591796875,0.013004150390625004,0.09985347499999975,0.016845703125,0.030444307499999823,0.030471191406250004,-0.06940916749999992,0.013625488281250004,0.03475266693480035,0.0021673583984375007,-0.040759824565637766,0.0022709147135416673,-0.00039222112971456233
355,KDjl2exStlI$_$4,missing,A,False,0.3,23,7,1.7028809000000003,0.023966476321220335,0.04541019687500025,0.0357177734375,-0.030517537499999747,0.0213482666015625,0.075927734375,0.014369506835937504,0.10644527187499975,0.011547851562500003,0.040478479062499774,0.02793334960937501,-0.06596679281249998,0.016385498046875006,0.04458778637261926,0.002394917805989584,-0.03873832519595163,0.002730916341145834,0.0027438238309507625
356,KkKWFZZmmCM$_$1,missing,T,True,0.1,28,3,2.06909183,0.7567057341337203,0.8271484706250001,0.257421875,0.382428011640625,0.133828125,0.44472045898437507,0.12359375000000003,3.95532229875,0.84775390625,3.8746826503125007,1.0034228515624999,-0.08063964843749938,0.15566894531249986,0.2149349959249412,0.020598958333333337,-0.038973431867481444,0.025944824218749978,0.05562633665238576
356,KkKWFZZmmCM$_$1,missing,T,True,0.2,28,6,2.06909183,0.7567057341337203,0.8388672206250001,0.31132812499999996,0.46594089005859374,0.16525390625,0.37292633056640634,0.14607421874999996,2.83715823625,0.5978515625,3.235406527265625,0.7693684387207032,0.3982482910156251,0.1715168762207031,0.18023663566917214,0.024345703124999993,0.19247483014844968,0.02858614603678385,0.10641082874485142
356,KkKWFZZmmCM$_$1,missing,T,True,0.3,28,9,2.06909183,0.7567057341337203,1.1502685878125,0.44062499999999993,0.71483157609375,0.23400390625000003,0.43543701171875004,0.2066210937499999,1.78930667375,0.396875,2.3171448085156245,0.5481903076171876,0.5278381347656245,0.1513153076171876,0.2104482725015049,0.034436848958333315,0.2551060673124194,0.02521921793619793,0.1313026016771139
357,KpMCvUyQCXg$_$1,missing,A,False,0.1,24,3,0.59228517,0.15572917163372035,0.05712892000000003,0.021777343749999983,-0.07198484953124998,0.015322265625000008,0.12911376953125,0.006455078124999975,0.6544189315625,0.15960693359375003,0.6317626815624999,0.1444291687011719,-0.022656250000000044,-0.015177764892578133,0.217992207265704,0.0010758463541666625,-0.03825220163422023,-0.0025296274820963555,0.04457155612588852
