sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
31,121128$_$10,zero,2.2353515625,0.76015625,0.7767220902612827,0.7740652346857598,0.7753936624735213,-0.2083740234375,-0.13525390625,0.07240413980318969,0.13772871917263327,0.10506642948791148,-0.4342041015625,-0.0866210937499999,0.15087376993552765,0.08820604614160692,0.11953990803856729,T,False,True
32,121128$_$1,zero,1.8581644694010413,-0.4138997395833333,0.8926817348808798,0.8393016271164064,0.8659916809986431,-0.0524190266927083,0.0085611979166667,0.02518265119120341,0.017360308921086573,0.021271480056144994,0.1709696451822916,-0.0706868489583333,0.08213561392791692,0.14333806396250695,0.11273683894521194,T,False,True
33,121128$_$0,zero,2.13665771484375,-0.442529296875,0.6945006546839662,0.7650199421782347,0.7297602984311005,-0.578857421875,0.01671142578125,0.18815220410268618,0.028889779897440234,0.10852099200006321,0.36102294921875,-0.1192138671874999,0.11734714121334762,0.20609027792432513,0.16171870956883638,T,False,False
34,121128$_$5,zero,2.641560872395833,0.8546223958333334,0.8811417557956458,0.855402059168513,0.8682719074820794,0.1461995442708333,-0.0861979166666666,0.04876757695857537,0.08627655415091873,0.06752206555474705,-0.2101236979166666,-0.0582682291666666,0.0700906672457788,0.05832138668056816,0.06420602696317348,T,False,True
35,125344$_$0,zero,4.817708333333333,-1.2986979166666668,0.8784686155215907,0.8443240497756709,0.8613963326486308,0.2542317708333333,-0.0502604166666666,0.046357026265024484,0.0326758655718276,0.03951644591842604,-0.4122721354166667,0.1891927083333333,0.07517435821338478,0.12300008465250144,0.0990872214329431,T,False,False
36,125676$_$0,zero,0.8277994791666666,-0.1545247395833333,0.8643779741672333,0.36560382008626,0.6149908971267466,-0.0518391927083333,-0.1369466145833333,0.054129843643779714,0.3240141712877388,0.18907200746575925,0.0780436197916666,-0.1311848958333333,0.08149218218898703,0.31038200862600124,0.19593709540749413,T,False,True
37,125676$_$4,zero,1.87176513671875,0.40859375,0.6827633805325497,0.6744036105738235,0.6785834955531866,0.5987548828125,0.167578125,0.21840769436281057,0.27659574468085113,0.24750171952183087,-0.27093505859375,-0.0296874999999999,0.09882892510463977,0.04900064474532544,0.0739147849249826,T,False,True
38,128059$_$11,zero,5.421686808268229,-1.9072428385416669,0.8316522615668608,0.7804054504042517,0.8060288559855562,-0.2403004964192708,0.1082845052083333,0.03686056726809713,0.04430784394688119,0.04058420560748916,0.8571879069010416,-0.4283854166666667,0.13148717116504205,0.17528670564886717,0.1533869384069546,T,False,True
39,128059$_$12,zero,4.067708333333333,-1.3855143229166669,0.8118239402306318,0.7598093469956085,0.7858166436131202,-0.4314371744791666,0.1816731770833333,0.08610524606139353,0.0996286907779642,0.09286696841967887,0.5114339192708334,-0.2563151041666666,0.10207081370797468,0.14056196222642717,0.12131638796720093,T,False,True
40,128059$_$2,zero,1.9167073567708333,-0.3671793619791667,0.5191205642495039,0.30729152477729044,0.41320604451339715,-0.3225504557291666,0.0929524739583333,0.08735948864888689,0.07779170185523195,0.08257559525205942,1.4529622395833337,-0.7347574869791667,0.39351994710160904,0.6149167733674776,0.5042183602345434,V,False,False
