sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
39,128059$_$12,zero,T,0.1,2,0.5578445803320313,0.11947265624999996,3.5064209353124993,1.3576660156250002
39,128059$_$12,zero,T,0.2,4,1.343878210703125,0.34283203125000006,3.240313757578125,1.1749438476562502
39,128059$_$12,zero,T,0.3,5,1.7682281862890625,0.49468627929687503,3.064138830820313,0.9893493652343752
40,128059$_$2,zero,V,0.1,2,0.293853762890625,0.16373046875000002,1.4042724640624997,0.7575000000000001
40,128059$_$2,zero,V,0.2,3,0.41091614082031247,0.22821289062500005,1.324761966015625,0.716455078125
40,128059$_$2,zero,V,0.3,5,0.6795259506958009,0.3723974609375,1.1125610382812499,0.6067871093750001
41,128059$_$7,zero,V,0.1,5,-0.13212887,0.044121093750000014,0.8045653934375,0.19837402343750002
41,128059$_$7,zero,V,0.2,10,-0.24399410437499994,0.07527099609375,0.73311763953125,0.18354431152343748
41,128059$_$7,zero,V,0.3,15,-0.34748531531249993,0.10148193359375002,0.6551025028124999,0.16780731201171875
42,128059$_$6,zero,T,0.1,5,0.14462888125000015,0.077421875,2.586947606835938,0.5886563110351564
42,128059$_$6,zero,T,0.2,10,0.35367429140625006,0.10433593750000003,2.353805516992188,0.4841931152343751
42,128059$_$6,zero,T,0.3,15,0.57244870546875,0.14475585937500007,1.844315313134766,0.3769116210937501
43,128059$_$9,zero,V,0.1,3,0.15671387593750002,0.09641601562499995,0.9973480312109375,0.518577880859375
43,128059$_$9,zero,V,0.2,5,0.25921021382812504,0.16218749999999996,0.8760740367651367,0.47209297180175785
43,128059$_$9,zero,V,0.3,7,0.370391854453125,0.22704589843749995,0.7505407420874024,0.4247643661499024
44,128763$_$12,zero,T,0.1,2,0.2771194401757812,0.08546905517578125,1.8716064396875005,0.647587890625
44,128763$_$12,zero,T,0.2,4,0.7400863591210936,0.22757812500000002,1.56412352953125,0.5413330078124999
44,128763$_$12,zero,T,0.3,6,0.8978912297265623,0.2707421875,1.3297714177148436,0.45157592773437505
45,128763$_$3,zero,T,0.1,3,0.13452149687500015,0.030859374999999956,4.532519543749999,1.2955371093749999
45,128763$_$3,zero,T,0.2,5,0.34568482695312513,0.0653125,3.2631881838867196,0.81302734375
45,128763$_$3,zero,T,0.3,8,0.47956544218749997,0.05554687500000003,2.4626526003906255,0.5627734375000001
46,128763$_$2,zero,T,0.1,2,-0.2832275140625001,0.03265625000000002,0.1704330194335939,0.11627929687500002
46,128763$_$2,zero,T,0.2,3,-0.39375607851562505,0.04929199218750001,0.22977750685546888,0.08137451171875003
46,128763$_$2,zero,T,0.3,4,-0.37734982851562504,0.05120117187500002,0.3403442132812501,0.07004882812500002
47,128763$_$5,zero,T,0.1,1,0.018914795234375024,0.015195312499999997,0.61102294953125,0.132744140625
47,128763$_$5,zero,T,0.2,2,0.04412536652343753,0.03709716796875,0.4485961917187501,0.12005859375000001
47,128763$_$5,zero,T,0.3,3,0.08608398468750003,0.04669921875000001,0.3457824710156251,0.1264599609375
48,128763$_$7,zero,T,0.1,2,0.1697510290624999,0.04539062499999999,3.959564261484375,1.1412774658203124
48,128763$_$7,zero,T,0.2,4,0.5979980993749997,0.14625000000000002,3.304200797128906,0.8373072814941407
48,128763$_$7,zero,T,0.3,5,0.7004944372656248,0.13785156250000002,3.0584869909765624,0.7954125976562499
49,128763$_$8,zero,T,0.1,1,0.030285658281249805,0.05453124999999996,2.8531448501757803,0.48708007812500015
49,128763$_$8,zero,T,0.2,2,0.1905670303515623,0.10035156250000002,1.9924224991015618,0.2931835937500001
49,128763$_$8,zero,T,0.3,3,0.40208894197265616,0.11720703125000001,1.4219711441210936,0.23140625000000004
50,130456$_$11,zero,T,0.1,4,0.11834314191162092,0.14480468750000003,1.841053751347656,0.6141802978515626
50,130456$_$11,zero,T,0.2,7,0.21053693616210917,0.2175537109375,1.5748748573046873,0.5255921936035157
50,130456$_$11,zero,T,0.3,11,0.2840751441699217,0.27356933593750005,1.3192825111132813,0.4573864293098451
51,130456$_$3,zero,T,0.1,2,0.35984763724121116,0.14532882690429688,2.5719848595312493,0.72775390625
51,130456$_$3,zero,T,0.2,4,0.7295284233740237,0.2564447379112244,2.4498229942968743,0.7484375
