sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
76,225770$_$6,zero,T,w1_vs_w3,33,7,0.5555555555555556,0.7306149732620322
76,225770$_$6,zero,T,w3_vs_w5,33,7,0.5555555555555556,0.8522727272727273
76,225770$_$6,zero,T,w1_vs_w5,33,7,0.2727272727272727,0.5487967914438503
77,236021$_$12,zero,V,w1_vs_w3,12,3,0.2,0.4825174825174825
77,236021$_$12,zero,V,w3_vs_w5,12,3,0.5,0.8881118881118882
77,236021$_$12,zero,V,w1_vs_w5,12,3,0.2,0.31468531468531474
78,236021$_$1,zero,T,w1_vs_w3,27,6,0.2,0.503052503052503
78,236021$_$1,zero,T,w3_vs_w5,27,6,1.0,0.854090354090354
78,236021$_$1,zero,T,w1_vs_w5,27,6,0.2,0.3388278388278388
79,236021$_$3,zero,T,w1_vs_w3,7,2,0.3333333333333333,-0.03571428571428572
79,236021$_$3,zero,T,w3_vs_w5,7,2,0.0,0.5929994533288809
79,236021$_$3,zero,T,w1_vs_w5,7,2,0.0,-0.5188745216627708
80,236021$_$2,zero,T,w1_vs_w3,48,10,0.5384615384615384,0.7015848892748588
80,236021$_$2,zero,T,w3_vs_w5,48,10,0.6666666666666666,0.9065349544072948
80,236021$_$2,zero,T,w1_vs_w5,48,10,0.5384615384615384,0.5851063829787233
81,236021$_$5,zero,T,w1_vs_w3,15,3,0.2,0.3
81,236021$_$5,zero,T,w3_vs_w5,15,3,0.2,0.7071428571428571
81,236021$_$5,zero,T,w1_vs_w5,15,3,0.2,0.06071428571428571
82,236021$_$4,zero,T,w1_vs_w3,48,10,0.3333333333333333,0.5173967331076448
82,236021$_$4,zero,T,w3_vs_w5,48,10,0.6666666666666666,0.7945071645679548
82,236021$_$4,zero,T,w1_vs_w5,48,10,0.25,0.3916843082359175
83,237009$_$11,zero,T,w1_vs_w3,9,2,0.3333333333333333,0.41666666666666663
83,237009$_$11,zero,T,w3_vs_w5,9,2,0.0,0.7166666666666667
83,237009$_$11,zero,T,w1_vs_w5,9,2,0.0,0.26666666666666666
84,237009$_$12,zero,T,w1_vs_w3,45,9,0.38461538461538464,0.36111390142630506
84,237009$_$12,zero,T,w3_vs_w5,45,9,0.5,0.49591567852437407
84,237009$_$12,zero,T,w1_vs_w5,45,9,0.2857142857142857,0.2309441705781663
85,237009$_$4,zero,T,w1_vs_w3,19,4,0.6,0.5877192982456141
85,237009$_$4,zero,T,w3_vs_w5,19,4,0.6,0.7929824561403509
85,237009$_$4,zero,T,w1_vs_w5,19,4,0.3333333333333333,0.4403508771929824
86,237009$_$7,zero,T,w1_vs_w3,8,2,0.3333333333333333,0.6666666666666669
86,237009$_$7,zero,T,w3_vs_w5,8,2,0.0,0.6347419188140273
86,237009$_$7,zero,T,w1_vs_w5,8,2,0.0,0.5868368683374969
87,237009$_$9,zero,T,w1_vs_w3,12,3,0.2,0.20979020979020982
87,237009$_$9,zero,T,w3_vs_w5,12,3,0.2,0.8391608391608393
87,237009$_$9,zero,T,w1_vs_w5,12,3,0.2,0.4755244755244756
88,241629$_$10,zero,T,w1_vs_w3,18,4,0.6,0.3828689370485036
88,241629$_$10,zero,T,w3_vs_w5,18,4,0.6,0.8369453044375645
88,241629$_$10,zero,T,w1_vs_w5,18,4,0.3333333333333333,0.1991744066047472
89,241629$_$0,zero,T,w1_vs_w3,13,3,0.5,0.8571428571428571
89,241629$_$0,zero,T,w3_vs_w5,13,3,0.5,0.8901098901098902
89,241629$_$0,zero,T,w1_vs_w5,13,3,0.5,0.6593406593406593
90,241629$_$3,zero,T,w1_vs_w3,28,6,0.7142857142857143,0.6347338228319792
90,241629$_$3,zero,T,w3_vs_w5,28,6,0.5,0.9036672140120415
90,241629$_$3,zero,T,w1_vs_w5,28,6,0.3333333333333333,0.530997678436412
91,241629$_$5,zero,T,w1_vs_w3,27,6,0.3333333333333333,0.42614950567209275
91,241629$_$5,zero,T,w3_vs_w5,27,6,0.7142857142857143,0.735042735042735
91,241629$_$5,zero,T,w1_vs_w5,27,6,0.2,0.15701852753796103
92,241629$_$8,zero,T,w1_vs_w3,48,10,0.25,0.6559370356930854
92,241629$_$8,zero,T,w3_vs_w5,48,10,0.5384615384615384,0.7496743378202344
