bootstrap_repeat,mean_D_zero_minus_missing
417,-0.3935158440032947
418,-0.3614432510250343
419,0.23162817988532652
420,-0.18932653715507217
421,0.24259402613805497
422,-0.22558117235259323
423,0.1339568453100128
424,-0.16650522023443498
425,-0.20550886542566169
426,0.08713632061496052
427,-0.2582643400679453
428,-0.19000908889660212
429,0.07894150764114233
430,-0.21313180009178145
431,-0.058794462015947
432,0.32874347807994553
433,-0.2075095943267125
434,-0.33576708074205625
435,-0.3828919579585215
436,-0.07168248330303152
437,-0.15439890922963492
438,-0.05910944404211489
439,0.020979887713753288
440,0.12950823200609665
441,0.03729545035041832
442,-0.40837390830379305
443,-0.08601707636315624
444,-0.09682193183767805
445,-0.29222298153262455
446,0.19253644189714308
447,-0.4503506967507078
448,-0.16132770889563022
449,-0.2986063439200834
450,-0.053860040189696735
451,0.14321122684416912
452,-0.0345417558632203
453,0.11938192095103302
454,-0.12265901540588899
455,0.08575181494310923
456,-0.3752115317729776
457,0.376161267652379
458,-0.40001614033582966
459,-0.036049748204614984
460,0.05357272509218252
461,-0.11063325844199755
462,0.12088165889475129
463,-0.13616286185432155
464,0.308809387770447
465,-0.4025804697878634
466,-0.1753196443428561
467,0.39902709328758673
468,-0.08614843101308466
469,-0.16304012107389115
470,-0.09777936676593664
471,0.16697096827417054
472,0.20505969028809545
473,-0.10682727482855407
474,0.20885048367391412
475,0.21880687476676514
476,-0.2532665776961347
477,-0.05231009024790024
478,-0.32399198801536255
479,0.1912749523951094
480,0.15212510832032505
481,-0.12828924607593997
482,-0.06406777962036024
483,0.056853271529129584
484,-0.22135768383146234
485,-0.17961226340771852
486,-0.42274892777702144
487,-0.1435100295190852
488,-0.2385606717265783
489,-0.33278465772467164
490,-0.22025421382526927
491,-0.20367268682437134
492,-0.14729200177387358
493,-0.18040154854985574
494,0.11907402377777797
495,0.0819837926001215
496,-0.053673298883750706
497,-0.11575665114040071
498,-0.15954813751508715
499,-0.1367077978121395
500,0.08164391736992987
501,-0.04076583043305548
502,-0.2927007946614231
503,-0.09941358181169885
504,-0.24207737781901786
505,-0.2846569397477413
506,-0.08285785751978472
507,0.33159984637414625
508,0.14795078195850475
509,-0.31922542751124117
510,-0.1467925323447128
511,-0.3569611576428786
512,-0.1693959421926832
513,-0.15003372252563502
514,0.003906310472773524
515,-0.4455681665688044
516,0.23792261107978874
517,-0.13349472498637044
518,-0.10760844415198276
519,0.5809143822319247
520,-0.15339679044877108
521,-0.15758580315652382
522,0.4616191332556368
523,-0.44143540545087756
524,0.06972228935527558
525,-0.16478179434922302
526,0.06594667503578268
527,0.2501304387403999
528,0.022859844414368675
529,-0.01697306341370284
530,0.06824098784520266
531,0.04362647778582646
532,0.0019587060531254447
533,-0.23901305969546222
534,-0.3331825109288116
535,-0.052759762865117424
536,-0.2504878062166654
537,0.6198650375013018
538,0.26273754508045083
539,0.20275606995304954
540,-0.2017099224130485
541,0.12608656250485792
542,-0.22327898855114353
543,-0.1246397877103054
544,-0.48949355646598364
545,0.39580908531890796
546,-0.020954255398200863
547,0.1085503253060896
548,-0.4898400391159228
549,-0.04563788703937141
550,-0.04337171935164373
551,0.12969023066421423
552,-0.046220180851142594
553,-0.04733197773899733
554,0.3418310807544998
555,-0.1625978269274634
556,-0.22841690577250257
557,-0.1240012444090391
558,0.171827303785131
559,-0.11618122110535199
560,0.2521923144305068
561,0.2494011079191902
562,-0.38109029348348544
563,-0.01709800601428111
564,0.1775089929516469
565,-0.16909311812757769
566,0.23665643957820495
567,0.3564201120135627
568,0.24753411754437277
569,-0.15870043945890283
570,0.2999493790536909
571,-0.0709790198724356
572,-0.2571990505170974
573,-0.03619495174138779
574,-0.1509949404606643
575,0.07944009038459193
576,-0.06767615465380022
577,-0.08717257427128579
578,0.17131741988054383
579,-0.0018615575024621173
580,-0.32846083938871984
581,0.17024837033964066
582,-0.24035463965617743
583,0.04701577418132838
584,-0.3556450649375965
585,-0.07998391451413689
586,-0.07062637692509768
587,-0.3148670486558449
588,-0.07240280575993478
589,-0.3014136230330166
590,0.041289177533147293
591,0.14262177917466864
592,-0.24646632780049177
593,-0.10375264715455632
594,0.01554831360027485
595,-0.27463874555160095
596,0.2500114538284994
597,-0.14945067130800294
598,-0.5057940063858057
599,-0.2221200685019208
600,-0.39330760189738506
601,0.055069300700291375
602,-0.10129136888021183
603,-0.13911833960889802
604,-0.2581162353028772
605,0.17460291580081438
606,-0.1079327556823264
607,0.01519208010612108
608,-0.1339268647631219
609,-0.0012987315043262546
610,-0.32768127647530826
611,0.009009929270669292
612,-0.008204200345026062
613,-0.014852401445984934
614,-0.0677773987394971
615,-0.3009614662460442
616,-0.0857741937168508
617,-0.16134036847592162
618,-0.30077403667650104
619,-0.15714788287200962
620,0.05601313276335365
621,-0.22305448580255569
622,-0.17756685333419855
623,-0.13554801690560742
624,0.3864037783238157
625,0.09070886293847724
626,-0.13958080658601515
627,-0.10266164744000199
628,-0.06332117807420161
629,0.05043573435998264
630,-0.432691447533827
631,0.18545558868837253
632,-0.24420703754271228
633,0.07267934146940996
634,-0.023160404406289813
635,-0.2505381385243814
636,-0.29907567638934335
637,0.05928744205079344
638,0.032321000614621016
639,0.09907746035123517
640,-0.4946079211708402
641,0.47691816802888476
642,-0.19455423262484112
643,-0.12659572703626176
644,-0.05056941652543729
645,-0.05982466762585259
646,0.049473990197248956
647,-0.3742495183093568
648,0.08244716915460854
649,-0.3486712100377802
650,-0.12793715381815438
651,0.2792811567591132
652,-0.12757663300618935
653,0.12778212060559077
