scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,scenario,modality_combination,missing_rate_percent,position
26,0.6167582417582418,0.6091882305980221,0.5747423227548927,0.6721420452105836,0.5755022814443805,0.668777968890805,0.6167582417582418,0.6091882305980221,0.5755869194578666,0.6716794617627082,0.5762172529387114,0.6686798876931078,A_40_Middle,A,40,Middle
27,0.6222527472527473,0.6132178704294747,0.5761031316081573,0.6731280600675198,0.575457588912432,0.6699980584404465,0.6222527472527473,0.6132178704294747,0.5767431893068683,0.6728285336774469,0.5763169356801515,0.6700296219835845,A_40_Tail,A,40,Tail
28,0.6098901098901099,0.6045138861588898,0.577517566842201,0.6715929483945992,0.5774242239982217,0.6680985024278512,0.6098901098901099,0.6045138861588898,0.5785136988570729,0.6710884068331101,0.5785524338212805,0.6679704319207516,A_50_Head,A,50,Head
29,0.614010989010989,0.6070746306673459,0.5750865305231495,0.6715999328804356,0.5759603896596274,0.6681974717662433,0.614010989010989,0.6070746306673459,0.5759182024010263,0.6711567348584672,0.576772541802745,0.668116932548613,A_50_Middle,A,50,Middle
30,0.6167582417582418,0.6082016091688883,0.5760106622722451,0.6723244452570796,0.5756702709139049,0.6692078242800817,0.6167582417582418,0.6082016091688883,0.5768786174460099,0.6719912631484082,0.5765627955284257,0.6692061842124044,A_50_Tail,A,50,Tail
31,0.6181318681318682,0.6088151582577338,0.5751377742410033,0.67339566220824,0.5755808547516446,0.6701129105177929,0.6181318681318682,0.6088151582577338,0.5753674414008856,0.673182768370093,0.5759805534174972,0.6702570657679023,V_10_Head,V,10,Head
32,0.6195054945054945,0.6097079306144982,0.5744053813495807,0.6736963932128213,0.5748587123079615,0.6704892995817411,0.6195054945054945,0.6097079306144982,0.5745376263550677,0.6734929416299379,0.5752100739005012,0.6706388477188205,V_10_Middle,V,10,Middle
33,0.6153846153846154,0.6055350027541674,0.5785112785154973,0.6712849544524346,0.5777980469304455,0.6680726106765451,0.6153846153846154,0.6055350027541674,0.5787117355349627,0.6709463676459073,0.5782197542486119,0.6680889354083637,V_10_Tail,V,10,Tail
34,0.6195054945054945,0.6107418686912175,0.5752063142934016,0.6728612652475924,0.5759552890192021,0.6695215015481801,0.6195054945054945,0.6107418686912175,0.5753769913258461,0.672668846791175,0.5762755934226808,0.6696907659552651,V_20_Head,V,20,Head
35,0.6195054945054945,0.6105041240642936,0.5734411574695464,0.6742403243165986,0.5744133363447018,0.6710800287290675,0.6195054945054945,0.6105041240642936,0.5735014558534374,0.6742020608269649,0.5745042349245031,0.6713879137524468,V_20_Middle,V,20,Middle
36,0.6153846153846154,0.6055555555555555,0.5801694170500222,0.6701825562761107,0.5792436078661091,0.6670398247775765,0.6153846153846154,0.6055555555555555,0.5804117749557718,0.669859330216577,0.579722248360924,0.6670655259218378,V_20_Tail,V,20,Tail
