sample_index,sample_id,shapley_T,shapley_A,shapley_V,local_T,local_A,local_V,shapley_main,local_main,top1_agreement,spearman_rank,l1_distance,pearson_aux
111,257247$_$12,0.8740151666231442,0.062350994592626,0.0636338387842297,0.8162409853814666,0.06788645221357643,0.11587256240495702,T,T,True,1.0,0.11554836248335532,0.9984358709295827
112,257247$_$2,0.5652270613418098,0.1116840607452965,0.3230888779128937,0.6697760038591868,0.016193718233515772,0.31403027790729754,T,T,True,1.0,0.2090978850347539,0.9999279133096152
113,258654$_$1,0.905351703162032,0.0458814557756884,0.0487668410622796,0.7500663537401788,0.06564899929788404,0.1842846469619371,T,T,True,1.0,0.31057069884370625,0.9872286469884735
114,258654$_$3,0.8825011704998849,0.062552620178297,0.054946209321818,0.8839077717909931,0.03336094070205832,0.08273128750694857,T,T,True,0.5,0.05838335895247751,0.9982171855696035
115,258654$_$4,0.8424613544973185,0.0270140619017499,0.1305245836009315,0.7875892663045728,0.1886475521861369,0.023763181509290347,T,T,True,0.5,0.32326698056877384,0.9481536183293718
116,266791$_$24,0.7745062799929738,0.0241356387927295,0.2013580812142965,0.436023963326608,0.12677880458895277,0.43719723208443934,T,V,False,0.5,0.6769646333327319,0.6803323922523936
117,266791$_$20,0.4488880779483178,0.030263099277714,0.520848822773968,0.9327829495550514,0.049317374288285865,0.017899676156662783,V,T,False,-0.5,1.0058982932346106,0.3495700443834405
118,266791$_$21,0.7423225249936471,0.0171361896841969,0.2405412853221558,0.37641836453575045,0.059643971778153275,0.5639376636860962,T,V,False,0.5,0.7318083209157935,0.43713571495225934
119,266791$_$23,0.1101336985412779,0.1490417680534596,0.7408245334052626,0.444323157657035,0.009623810629948921,0.546053031713016,V,V,True,0.5,0.6683789182315143,0.6036050714004163
120,266791$_$29,0.7192496149464629,0.0180530377554276,0.2626973472981094,0.9641851829048785,0.0074564612504687934,0.028358355844652752,T,T,True,1.0,0.4898711359168311,0.9454802261357121
121,266791$_$3,0.4123158435777699,0.1087506226620988,0.4789335337601311,0.6266768629170569,0.06112430847277493,0.31219882861016823,V,T,False,0.5,0.4287220386785738,0.7263168925310015
122,266791$_$5,0.7736798137929344,0.0307496801599216,0.195570506047144,0.76510231926731,0.039152595868259595,0.19574508486443037,T,T,True,1.0,0.017154989051248775,0.9999793975633146
123,266791$_$4,0.834946625446938,0.011493207014062,0.153560167539,0.9122398418940665,0.008652255459903654,0.0791079026460299,T,T,True,1.0,0.15458643289425694,0.9957772450516974
124,266791$_$6,0.474471140829146,0.1018707137684733,0.4236581454023805,0.8609686930402918,0.04781288716624678,0.09121841979346143,T,T,True,1.0,0.7729951044222914,0.6420213895925201
125,266791$_$8,0.4887005320185756,0.1343465085766117,0.3769529594048126,0.6167694711125897,0.14186902922733408,0.2413614996600762,T,T,True,1.0,0.27118291948947293,0.8609268773627232
126,266791$_$11,0.3864378356933869,0.0881215310010872,0.5254406333055259,0.8901657902448662,0.09104782503543235,0.018786384719701482,V,T,False,-0.5,1.0133084971716488,0.1321327695447851
127,266791$_$14,0.4507262305073227,0.1032226259972117,0.4460511434954654,0.8164277154017712,0.16920019256783142,0.014372092030397335,T,T,True,0.5,0.8633581029301363,0.34511482130410326
128,270254$_$23,0.6527816178465395,0.0288020443240141,0.3184163378294463,0.6355656045062528,0.020069114766092203,0.3443652807276551,T,T,True,1.0,0.051897885796417485,0.9973789718083472
129,270254$_$0,0.1519559865000475,0.5351426539815309,0.3129013595184214,0.26817463491086596,0.7175663768226138,0.01425898826652029,A,A,True,0.5,0.5972847425038025,0.6995759620663631
130,270254$_$6,0.5935680200938898,0.0932910136503985,0.3131409662557117,0.9704042573061981,0.007538284252036304,0.022057458441765588,T,T,True,1.0,0.7536724744246166,0.9044766147863207
131,270254$_$8,0.8330401198747562,0.0094991963469837,0.15746068377826,0.6942070856810018,0.07315471405486283,0.2326382002641354,T,T,True,1.0,0.277666068387509,0.9967610291240454
132,270254$_$11,0.2554711368825407,0.4560559942787621,0.2884728688386971,0.14599759199304016,0.8473407009501925,0.00666170705676737,A,A,True,0.5,0.7825694133428607,0.9525545923016205
133,270254$_$14,0.3788828308040868,0.0372594150392197,0.5838577541566934,0.393710985667503,0.04555939556783389,0.560729618764663,V,V,True,1.0,0.0462562707840608,0.9983800615861803
134,270254$_$16,0.7749683305578092,0.0827121445956578,0.1423195248465328,0.03593369703339116,0.46657055744374915,0.49749574552285974,T,V,False,-0.5,1.4780692670488365,-0.9905299811973451
135,272624$_$10,0.8052297312034606,0.1185741659516717,0.0761961028448676,0.7814933757531828,0.0675972426913023,0.15090938155551492,T,T,True,0.5,0.14942655742129457,0.987430258950755
136,272624$_$13,0.2882940508176858,0.3997993849635566,0.3119065642187576,0.11527264918159767,0.8720216097003117,0.012705741118090572,A,A,True,0.5,0.9444444494735103,0.9517858609967923
137,272624$_$12,0.7411313863103549,0.1523733118392098,0.1064953018504351,0.9131291528741787,0.016809764230635592,0.07006108289518569,T,T,True,0.5,0.3439955331276474,0.9930650255402406
138,272624$_$16,0.7612560639422667,0.1460263785981045,0.0927175574596287,0.8648935788529005,0.04155424563518271,0.0935521755119168,T,T,True,0.5,0.20894426592584367,0.9917913941059976
139,272624$_$18,0.6020702416675845,0.184445143313117,0.2134846150192984,0.6584740935309261,0.02833688841649761,0.31318901805257626,T,T,True,1.0,0.3122165097932389,0.9187167611721956
140,272624$_$2,0.5428299039613442,0.2658938438195823,0.1912762522190733,0.7001457053507945,0.058842697772744625,0.2410115968764609,T,T,True,0.5,0.41410229209367555,0.8860476842316932
141,272624$_$6,0.6094117271090158,0.2049748941656395,0.1856133787253446,0.20686305151905174,0.7797958904987493,0.013341057982199004,T,A,False,0.5,1.1496419926662196,-0.23567331593965826
142,272624$_$9,0.5285746565763947,0.2951335423163336,0.1762918011072716,0.7793843358038334,0.018534110007654873,0.20208155418851176,T,T,True,0.5,0.5531988646173576,0.8412535253177961
143,272624$_$8,0.8451991773874945,0.0952374444305975,0.059563378181908,0.8357284654477504,0.06780782596341058,0.09646370858883903,T,T,True,0.5,0.07380066081386209,0.9973267859768469
144,273539$_$3,0.9188946748138508,0.0076200071793093,0.0734853180068397,0.7344745017406212,0.052659553833687284,0.21286594442569148,T,T,True,1.0,0.36884034614645933,0.986943952675686
145,273539$_$2,0.6872946239925142,0.0372545225326805,0.2754508534748053,0.8310318421633,0.006654910074044813,0.16231324776265524,T,T,True,1.0,0.28747443634157155,0.981637907202474
146,273539$_$9,0.8304461218526593,0.0433920438499817,0.1261618342973587,0.8070856595774424,0.033097043328261244,0.15981729709429643,T,T,True,1.0,0.06731092559387512,0.9983539032312082
147,290546$_$3,0.5784520226672114,0.1155570982455007,0.3059908790872879,0.7976033555358923,0.009342224150817955,0.19305442031328968,T,T,True,1.0,0.43830266573736193,0.9806502403206603
148,290546$_$5,0.7526303111165875,0.0416349475383755,0.205734741345037,0.6099803738906724,0.04837821495057473,0.3416414111587529,T,T,True,1.0,0.28529987445183025,0.9470130296987447
149,290546$_$7,0.4365177726657249,0.1984710909877831,0.3650111363464919,0.7206131261061806,0.013559100855182206,0.2658277730386372,T,T,True,1.0,0.5681907068809113,0.9247501154621727
